"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
116.0,1.0,125708.71591831339,8267.100363889671,158.0292326692997,8827.37878215736,192.49040875426343,46.00946427685584,556.1693277912256,6.1753196178129235
117.0,1.0,125877.8158250095,4244.629068137152,161.37036245509967,7867.836455696718,192.8629503701006,41.50014751861214,476.80402420339885,6.528747486762313
118.0,1.0,128232.68856805145,44760.22564259469,162.03192669362767,9502.559559800246,186.66631589646374,43.96345143025045,459.1923333067547,5.789123853831061
119.0,1.0,128385.52096869331,40719.35598262808,157.69426191448648,9077.71551599959,194.3145652724933,40.688955770237875,428.94912632158366,5.353159498690267
120.0,1.0,128558.3093933051,36681.47237738997,158.9480147724025,8393.867314176916,187.83714425001062,35.49518225288959,355.2320536335401,5.180512189072442
121.0,1.0,128718.90405839708,32645.283012733536,156.47028023880165,7967.577331477189,189.1951428066504,33.96473300644125,331.88428524457356,5.081754597363584
122.0,1.0,128899.40394885253,28604.970707169687,162.39020949505888,9540.114473396321,187.17714063829646,42.40667713331705,445.5357748070233,5.60445820691023
123.0,1.0,129061.25388634898,24563.950373768,153.90915749274063,7274.386334238454,186.0410165436799,34.823268176694164,375.90437426842436,5.486714770587066
124.0,1.0,129209.32573848778,20526.29152568036,157.95647267612483,8197.578356609802,192.96786174506192,36.397575749607576,356.1766342915643,5.35323198221715
125.0,1.0,129372.82535553254,16494.092935803965,157.01338929107226,9262.603342043776,195.58586148902165,41.763509499923956,470.6127154787826,5.33242209438597
126.0,1.0,129544.38214385338,12467.120509142405,158.6011206757882,7035.324983847781,189.6661604391714,31.525138728245683,296.11371944042406,5.487065833969902
127.0,1.0,129711.13931077856,8432.052566268574,155.7924020709209,7936.719180790609,196.65750489915334,39.03645916593533,419.44112878410664,5.725871182831868
128.0,1.0,129893.08175142038,4397.5829940788735,160.5208835392198,7657.409324747127,198.3934554283863,38.389866454897806,406.1771419912067,6.177246372507437
130.0,1.0,132263.0079038411,44916.05182379922,154.29543618807034,10032.647716695918,192.25402933909442,37.195195106122654,349.3267184006893,4.319098934393567
131.0,1.0,132419.13738017663,40893.33780101202,157.18143788328965,7882.75891125948,184.1649745819469,29.773301504704513,241.11192855841094,4.620465599440964
132.0,1.0,132584.34703234409,36837.87051698452,157.3952925825501,7548.314364404924,187.24526861897573,30.515156117974307,250.72479005483305,4.924285443386035
133.0,1.0,132751.7679650929,32797.513979098985,157.5518512392926,7219.39190000843,183.36584197965198,28.05733226881611,214.24884610681914,4.786267400024674
134.0,1.0,132921.64666205892,28767.514330806596,154.70694873174014,8973.848166478005,190.39854111893484,35.07588450955889,303.4515577314951,4.577967617212867
135.0,1.0,133080.00804204386,24733.65418087843,161.93916636207598,10093.700633419212,183.49663401553497,40.87632946929335,371.81800511571504,5.11119888606991
136.0,1.0,133228.7109667234,20696.83261957613,165.18767537912973,6848.062841048464,186.33061928284994,15.404884364186243,76.53552087016226,3.458032500431984
137.0,1.0,133413.09252807646,16646.419625205708,158.44456446744707,8705.38443861268,186.37175587203507,34.878338595801125,307.5699575923296,4.900325978004793
138.0,1.0,133580.12073005285,12614.627222817639,155.72022183935718,8893.96180287497,187.9078013386959,36.377390379779264,330.49488183144484,4.824067562793891
139.0,1.0,133752.41813998952,8591.534924363048,157.8372213725712,7480.679647003864,183.4717314787771,31.28785999726428,270.74983187094597,5.10057263306553
140.0,1.0,133907.4789394913,4556.496120774168,152.97266796381183,10222.388125860427,202.32208925255216,42.67521095649481,415.0422972140832,4.712770547337611
141.0,1.0,136312.74516006635,45088.065644656606,158.7731729977059,9481.198006206565,182.95944963148509,32.028353250473955,223.0724897388526,4.222319957379546
142.0,1.0,136473.876196169,41051.70361547563,157.80115371160613,8799.980851950542,184.24829165005377,30.387824309430943,201.98613450534796,4.278100108469252
143.0,1.0,136636.52866614776,37001.45142506965,154.1252546611687,8761.61091320909,185.67230881349948,28.050491658346665,185.38686057043972,3.852221465728243
144.0,1.0,136811.43655650568,32968.26466792168,156.12739214190276,8355.154205150115,182.27776934919217,24.926149254248507,157.00576043835554,3.744654235916832
145.0,1.0,136982.08051795737,28931.35752525357,158.62086784162275,8434.950712181902,183.6655128006255,30.35687242124203,202.9393441838044,4.4870500059316285
146.0,1.0,137143.70871722596,24900.07666188985,157.41046863622122,9725.725656881687,184.32269368803384,34.248453941780944,238.35614879588138,4.29707073164397
147.0,1.0,137316.23172655157,20841.169793647747,153.3141734595864,8948.499104068198,186.21183901386556,29.352257044996573,197.10880664953166,3.8841400791793412
148.0,1.0,137471.36882570444,16813.299111515094,159.2494918106299,9690.716505759825,182.53076635826065,35.03200601447776,251.50524405808366,4.4920648643916365
149.0,1.0,137645.3582715561,12783.739504267662,154.01022131359406,7683.096107161026,184.4809783752008,27.39563411136005,181.9282578337939,4.251567703152628
150.0,1.0,137807.40888710963,8755.810004087496,152.9036142957739,8780.831306486203,182.77693072782571,27.72817756481335,190.80048333125941,3.7548250923710182
151.0,1.0,137975.06038262052,4708.915721937184,154.2869455494509,7992.448255795183,186.93339512894173,31.608721974060707,236.2014583691431,4.63824616270181
152.0,1.0,140395.62539963258,45255.59194594847,153.831698267834,9592.949005122446,198.4112766248023,32.47065696286504,278.89351775201885,3.9872837286303127
153.0,1.0,140567.53247808115,41201.59377455418,154.7797069426278,9629.052105214903,186.55041554643563,26.89562655581499,157.08753580086997,3.448651264304167
154.0,1.0,140733.80807090155,37161.53369180105,159.34388328397984,10270.432985804007,182.55754276563854,35.463805424515016,233.74506000253925,4.305359024874702
155.0,1.0,140895.48363487812,33124.17536367241,159.92187410654313,9115.334719241386,181.78732638867749,27.803779021684978,171.09847264953146,3.9441564184407962
156.0,1.0,141058.0158839044,29088.438831501742,154.07372703779998,9810.587377955937,186.35737661656856,24.583756191757605,135.74381741590037,3.1420184578048915
157.0,1.0,141234.10247427417,25054.74433319665,160.3873030557534,9695.359670316097,181.42645074004693,28.675536537863366,167.229554565156,3.844568214245989
158.0,1.0,141403.86301237126,21019.58340061267,158.40773237205062,9865.459650573923,184.00668831783636,37.08619969900907,251.25041479495502,4.5964959061895945
159.0,1.0,141566.30975616048,16975.026900454464,156.90620155517954,8239.536022771304,180.47409462871684,25.19566632384133,143.581056862122,3.857803795034538
160.0,1.0,141733.51123364057,12939.554759052651,154.4161766199681,8023.1063280444505,182.03862311401838,25.602408078799645,156.07929281536445,3.8888447214160147
161.0,1.0,141901.0759789869,8915.14842882109,159.09038779100285,8869.747473179343,179.822136921487,28.48059538214096,193.28936331347026,4.084807228685313
162.0,1.0,142062.373812726,4887.324668524712,153.68103025889025,8644.503562205371,183.73715903784006,27.732399691315823,180.7981562678134,3.8435658473274565
